Movie Name 🎬,Movie Link 🔗,Movie Date 🗓️,Movie Ratings ⭐,Movie Trivia 🤔,Movie Music 🎵
Jailer,https://www.91mobiles.com/entertainment/jailer-movie-209549,10 Aug 2023,7.2/10,"Rajinikanth and Ramya Krishnan paired after Padaiyappa(1999), 24 years after for this movie jailer. Anyway Ramya Krishnan did a cameo role in Baba(2002) movie which was 21 years ago.",Kaavaalaa
Rocky Aur Rani Ki Prem Kahani,https://www.91mobiles.com/entertainment/rocky-aur-rani-ki-prem-kahani-movie-203591,28 Jul 2023,7/10,Karan Johar temporarily shelved his big budget Takht and started working on this film fearing viewers backlash.,Tum Kya Mile
Satya Prem Ki Katha,https://www.91mobiles.com/entertainment/satya-prem-ki-katha-movie-212132,29 Jun 2023,7.3/10,The film was announced as Satyanaryan Ki Katha but fearing religious backlash the makers changed the title to Satyaprem Ki Katha.,Naseeb Se
Spider-man: Across The Spider-verse (part One),https://www.91mobiles.com/entertainment/spiderman-across-the-spiderverse-part-one-movie-206581,01 Jun 2023,9/10,"Will take place across six dimensions, with 240 characters in it, with over 1,000 animators working on it.",Music not found
No Hard Feelings,https://www.91mobiles.com/entertainment/no-hard-feelings-movie-212392,23 Jun 2023,6.4/10,"Jennifer Lawrence described her experience working alongside Andrew Barth Feldman as akin to working with Christian Bale, due to their improvisational abilities.",Music not found
Por Thozil,https://www.91mobiles.com/entertainment/por-thozil-movie-212788,09 Jun 2023,8/10,Description not found,Tharum Anbaale
Barbie ,https://www.91mobiles.com/entertainment/barbie-movie-184163,21 Jul 2023,7.8/10,"Despite fan expectations, Aqua's iconic single ""Barbie Girl"" will not be featured in the film according to the band's manager. Mattel has a bad legal history with the band over the song, and unsuccessfully tried to sue the band over the song for ""copyright infringement"" only for Aqua to win against the lawsuit as their single was a parody and protected under fair use.",Pink
Bro,https://www.91mobiles.com/entertainment/bro-movie-212721,28 Jul 2023,6.9/10,Description not found,Jaanavule
Baby,https://www.91mobiles.com/entertainment/baby-movie-213150,14 Jul 2023,7.4/10,Description not found,Music not found
Dungeons & Dragons,https://www.91mobiles.com/entertainment/dungeons-dragons-movie-186445,23 Mar 2023,7.3/10,The movie is set in the Forgotten Realms.,Music not found
Guardians Of The Galaxy Vol. 3,https://www.91mobiles.com/entertainment/guardians-of-the-galaxy-vol-3-movie-184505,27 Apr 2023,7.9/10,"After James Gunn was fired as director, actor Dave Bautista (Drax) became one of Gunn's most vocal supporters, tweeting that ""James Gunn is one of the most loving, caring, good natured people I have ever met. He's gentle and kind and cares deeply for people and animals. He's made mistakes. We all have. Im NOT ok with what's happening to him."" Bautista even stated that he would demand to be released from his contract if the studio did not use the screenplay Gunn had originally written for this film. Gunn was later re-hired.",Music not found
Pathaan,https://www.91mobiles.com/entertainment/pathaan-movie-204069,25 Jan 2023,6.4/10,"The action scenes in Pathaan are inspired from WWE wrestling moves. Shah Rukh Khan's kick was taken from Shawn Michaels ""Sweet Chin Music"". John Abraham's punch was taken from Roman Reigns ""Superman Punch"".",Besharam Rang
Maaveeran,https://www.91mobiles.com/entertainment/maaveeran-movie-210295,14 Jul 2023,7.4/10,Description not found,Vaa Veera
The Flash,https://www.91mobiles.com/entertainment/the-flash-movie-180784,15 Jun 2023,7/10,The film will reportedly ignore the events of Batman Forever (1995) and Batman & Robin (1997) and come up with new stories about Michael Keaton's Batman to fill the gap between Batman Returns (1992) and this film.,Are You Actively Eating That Candy Bar?
Indiana Jones 5,https://www.91mobiles.com/entertainment/indiana-jones-5-movie-180462,29 Jun 2023,7/10,John Rhys-Davies had expressed interest in reprising his role as Sallah from Indiana Jones and the Raiders of the Lost Ark (1981) and Indiana Jones and the Last Crusade (1989). It was revealed in 2022 that he would indeed appear in the film.,Prologue to Indiana Jones and the Dial of Destiny
Shazam! 2,https://www.91mobiles.com/entertainment/shazam-2-movie-186033,15 Mar 2023,6/10,"Grace Caroline Currey who plays Mary Bromfield will also play her adult superhero form, replacing Michelle Borth from the first film. According to director David F. Sandberg, Fulton is now playing both parts but her hair and makeup are slightly different when she's super so nobody will ever recognize her.",Music not found
Bawaal,https://www.91mobiles.com/entertainment/bawaal-movie-213000,not found,6.6/10,"This is the first time that the two actors, Varun Dhawan and Janhvi Kapoor, paired up for a film. Also, Bawaal is the most expensive film of Varun Dhawan's career.",Tumhe Kitna Pyaar Karte
Super Mario Bros. The Movie,https://www.91mobiles.com/entertainment/super-mario-bros-the-movie-movie-187738,05 Apr 2023,7.1/10,"On the August 4, 2021 edition of Bert Kreischer's Bertcast's podcast (2012), stand-up comedian/actor Sebastian Maniscalco mentioned that he will be voicing Spike, and mentioned that the feature will be animated.",Bowser - Peaches
John Wick: Chapter 4,https://www.91mobiles.com/entertainment/john-wick-chapter-4-movie-186452,13 Mar 2023,8.6/10,"The film was announced with a text message: ""You have served. You will be of service. John Wick: Chapter 4 is coming - May 21st, 2021.""",Big Wick Energy
Dd Returns,https://www.91mobiles.com/entertainment/dd-returns-movie-213221,28 Jul 2023,6.4/10,Description not found,Music not found
Avatar 2,https://www.91mobiles.com/entertainment/avatar-2-movie-184270,12 Dec 2022,7.8/10,Kate Winslet broke Tom Cruise's underwater filming record from Mission: Impossible - Rogue Nation (2015) of six minutes with a record of seven minutes and 14 seconds.,Music not found
"Are You There God? It's Me, Margaret.",https://www.91mobiles.com/entertainment/are-you-there-god-its-me-margaret-movie-212401,24 Mar 2023,7.4/10,"First published in 1970, the novel Are You There God? It's Me, Margaret by Judy Blume is considered a children's classic. It has never been out of print since its initial publication; in 2010, Time Magazine put it on a list of the 100 best novels published since 1923, and in 2012 it made Scholastic Parent & Child Magazine's list of 100 Greatest Books for Kids. However, starting almost from its first publication, it has long also been one of the most challenged and banned books in America: parents, administrators, and politicians have often tried to get the book removed from school libraries and reading lists both because of its honest examination of puberty and menstruation and because it depicts a girl who is given the freedom to decide for herself what religion she is interested in adhering to.",Music not found
Three Thousand Years Of Longing,https://www.91mobiles.com/entertainment/three-thousand-years-of-longing-movie-209185,31 Aug 2022,6.7/10,Cinematographer John Seale came out of retirement for the second time to shoot this movie. He'd previously done so in 2012 to shoot George Miller's previous film Mad Max: Fury Road (2015).,Music not found
Transformers: Rise Of The Beasts,https://www.91mobiles.com/entertainment/transformers-rise-of-the-beasts-movie-211501,09 Jun 2023,6.6/10,"Part of the film's plot takes inspiration from the TV series Beast Wars: Transformers (1996), which features the Maximals and Predacons, descendants of the Autobots and Decepticons, who can transform into different animals and creatures.","The Maximals - (from ""Transformers: Rise of the Beasts"" Music from the Motion Picture)"
